  0.871252E-01  0.400680E+01  0.103361E+02
  0.898592E-01  0.117602E+02  0.356201E+01
  0.925932E-01  0.136557E+02  0.288275E+01
  0.953273E-01  0.133232E+02  0.260205E+01
  0.980613E-01  0.116007E+02  0.227356E+01
  0.100795E+00  0.885352E+01  0.206305E+01
  0.103529E+00  0.100680E+02  0.185127E+01
  0.106263E+00  0.107583E+02  0.172302E+01
  0.108998E+00  0.100358E+02  0.151753E+01
  0.111732E+00  0.117837E+02  0.141468E+01
  0.114466E+00  0.119197E+02  0.132243E+01
  0.117200E+00  0.125482E+02  0.121574E+01
  0.119934E+00  0.127293E+02  0.112007E+01
  0.122668E+00  0.112293E+02  0.102770E+01
  0.125402E+00  0.111273E+02  0.965109E+00
  0.128136E+00  0.103696E+02  0.916334E+00
  0.130870E+00  0.109697E+02  0.843350E+00
  0.133604E+00  0.118189E+02  0.806830E+00
  0.136338E+00  0.120528E+02  0.744033E+00
  0.139072E+00  0.112464E+02  0.701198E+00
  0.141806E+00  0.106285E+02  0.654071E+00
  0.144540E+00  0.120725E+02  0.625432E+00
  0.147274E+00  0.109253E+02  0.601488E+00
  0.150008E+00  0.120449E+02  0.558250E+00
  0.152742E+00  0.116900E+02  0.536905E+00
  0.155476E+00  0.116457E+02  0.498936E+00
  0.158210E+00  0.115714E+02  0.484674E+00
  0.160944E+00  0.118044E+02  0.455454E+00
  0.163678E+00  0.112742E+02  0.439397E+00
  0.166412E+00  0.117174E+02  0.417791E+00
  0.169146E+00  0.113006E+02  0.397373E+00
  0.171881E+00  0.118774E+02  0.384478E+00
  0.174615E+00  0.115278E+02  0.364860E+00
  0.177349E+00  0.114118E+02  0.350077E+00
  0.180083E+00  0.115905E+02  0.331753E+00
  0.182817E+00  0.114445E+02  0.324849E+00
  0.185551E+00  0.115353E+02  0.314229E+00
  0.188285E+00  0.113527E+02  0.295785E+00
  0.191019E+00  0.115269E+02  0.285005E+00
  0.193753E+00  0.109038E+02  0.277608E+00
  0.196487E+00  0.115174E+02  0.268200E+00
  0.199221E+00  0.114878E+02  0.263222E+00
  0.201955E+00  0.115419E+02  0.244752E+00
  0.204689E+00  0.113690E+02  0.242976E+00
  0.207423E+00  0.109948E+02  0.234148E+00
  0.210157E+00  0.113913E+02  0.232327E+00
  0.212891E+00  0.113766E+02  0.224996E+00
  0.215625E+00  0.112414E+02  0.216416E+00
  0.218359E+00  0.112353E+02  0.217053E+00
  0.221093E+00  0.115264E+02  0.207824E+00
  0.223827E+00  0.114035E+02  0.204171E+00
  0.226561E+00  0.110980E+02  0.200020E+00
  0.229295E+00  0.110548E+02  0.193599E+00
  0.232029E+00  0.114684E+02  0.196125E+00
  0.234764E+00  0.113309E+02  0.184420E+00
  0.237498E+00  0.113855E+02  0.188161E+00
  0.240232E+00  0.113103E+02  0.181019E+00
  0.242966E+00  0.114278E+02  0.178534E+00
  0.245700E+00  0.112873E+02  0.177518E+00
  0.248434E+00  0.112902E+02  0.166808E+00
  0.251168E+00  0.112486E+02  0.169883E+00
  0.253902E+00  0.111860E+02  0.165233E+00
  0.256636E+00  0.112600E+02  0.161701E+00
  0.259370E+00  0.111599E+02  0.158475E+00
  0.262104E+00  0.110450E+02  0.152348E+00
  0.264838E+00  0.112316E+02  0.155421E+00
  0.267572E+00  0.110858E+02  0.149714E+00
  0.270306E+00  0.111726E+02  0.147244E+00
  0.273040E+00  0.111585E+02  0.146162E+00
  0.275774E+00  0.111551E+02  0.139925E+00
  0.278508E+00  0.112123E+02  0.143928E+00
  0.281242E+00  0.113024E+02  0.137395E+00
  0.283976E+00  0.113645E+02  0.137970E+00
  0.286710E+00  0.113623E+02  0.137219E+00
  0.289444E+00  0.109932E+02  0.131915E+00
  0.292178E+00  0.110920E+02  0.132135E+00
  0.294912E+00  0.111799E+02  0.129599E+00
  0.297647E+00  0.109802E+02  0.128084E+00
  0.300381E+00  0.112130E+02  0.128421E+00
  0.303115E+00  0.109997E+02  0.125669E+00
  0.305849E+00  0.111835E+02  0.124010E+00
  0.308583E+00  0.109414E+02  0.122177E+00
  0.311317E+00  0.109105E+02  0.120587E+00
  0.314051E+00  0.108234E+02  0.120157E+00
  0.316785E+00  0.108845E+02  0.116643E+00
  0.319519E+00  0.109096E+02  0.117662E+00
  0.322253E+00  0.107694E+02  0.116781E+00
  0.324987E+00  0.110552E+02  0.116077E+00
  0.327721E+00  0.109707E+02  0.113530E+00
  0.330455E+00  0.108224E+02  0.112482E+00
  0.333189E+00  0.109666E+02  0.113403E+00
  0.335923E+00  0.108560E+02  0.112727E+00
  0.338657E+00  0.109020E+02  0.110535E+00
  0.341391E+00  0.109814E+02  0.108071E+00
  0.344125E+00  0.107530E+02  0.108904E+00
  0.346859E+00  0.106997E+02  0.107678E+00
  0.349593E+00  0.108099E+02  0.109540E+00
  0.352327E+00  0.108857E+02  0.106164E+00
  0.355061E+00  0.107147E+02  0.105091E+00
  0.357795E+00  0.107437E+02  0.105838E+00
  0.360530E+00  0.108892E+02  0.106355E+00
  0.363264E+00  0.108413E+02  0.105685E+00
  0.365998E+00  0.107360E+02  0.103168E+00
  0.368732E+00  0.107365E+02  0.103774E+00
  0.371466E+00  0.107603E+02  0.105443E+00
  0.374200E+00  0.106835E+02  0.101440E+00
  0.376934E+00  0.106521E+02  0.102892E+00
  0.379668E+00  0.106791E+02  0.102568E+00
  0.382402E+00  0.106191E+02  0.101981E+00
  0.385136E+00  0.108409E+02  0.103348E+00
  0.387870E+00  0.106084E+02  0.999466E-01
  0.390604E+00  0.105891E+02  0.101811E+00
  0.393338E+00  0.106557E+02  0.100373E+00
  0.396072E+00  0.105743E+02  0.100488E+00
  0.398806E+00  0.106150E+02  0.989918E-01
  0.401540E+00  0.106731E+02  0.100684E+00
  0.404274E+00  0.106261E+02  0.100890E+00
  0.407008E+00  0.104906E+02  0.988379E-01
  0.409742E+00  0.105829E+02  0.983845E-01
  0.412476E+00  0.105339E+02  0.978033E-01
  0.415210E+00  0.104974E+02  0.985527E-01
  0.417944E+00  0.104000E+02  0.989545E-01
  0.420678E+00  0.103704E+02  0.963561E-01
  0.423413E+00  0.103143E+02  0.979770E-01
  0.426147E+00  0.103555E+02  0.950153E-01
  0.428881E+00  0.103739E+02  0.971696E-01
  0.431615E+00  0.103963E+02  0.970348E-01
  0.434349E+00  0.103361E+02  0.952153E-01
  0.437083E+00  0.104055E+02  0.971668E-01
  0.439817E+00  0.103629E+02  0.952695E-01
  0.442551E+00  0.102787E+02  0.956870E-01
  0.445285E+00  0.103257E+02  0.940411E-01
  0.448019E+00  0.103031E+02  0.950374E-01
  0.450753E+00  0.101491E+02  0.951954E-01
  0.453487E+00  0.102108E+02  0.937321E-01
  0.456221E+00  0.102029E+02  0.948498E-01
  0.458955E+00  0.101579E+02  0.923634E-01
  0.461689E+00  0.101373E+02  0.939350E-01
  0.464423E+00  0.102403E+02  0.941438E-01
  0.467157E+00  0.101254E+02  0.916668E-01
  0.469891E+00  0.100149E+02  0.934343E-01
  0.472625E+00  0.100655E+02  0.918990E-01
  0.475359E+00  0.101709E+02  0.931494E-01
  0.478093E+00  0.100669E+02  0.913618E-01
  0.480827E+00  0.100873E+02  0.914349E-01
  0.483561E+00  0.101185E+02  0.931302E-01
  0.486296E+00  0.100298E+02  0.910054E-01
  0.489030E+00  0.100210E+02  0.919860E-01
  0.491764E+00  0.999883E+01  0.905848E-01
  0.494498E+00  0.100059E+02  0.903817E-01
  0.497232E+00  0.999991E+01  0.911078E-01
  0.499966E+00  0.988877E+01  0.900234E-01
  0.502700E+00  0.990754E+01  0.894052E-01
  0.505434E+00  0.998216E+01  0.900533E-01
  0.508168E+00  0.994258E+01  0.904429E-01
  0.510902E+00  0.100039E+02  0.909398E-01
  0.513636E+00  0.992368E+01  0.891867E-01
